Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level
56,Male,88.3,1.71,180,157,60,1.69,1313,Yoga,12.6,3.5,4,3
46,Female,74.9,1.53,179,151,66,1.3,883,HIIT,33.9,2.1,4,2
32,Female,68.1,1.66,167,122,54,1.11,677,Cardio,33.4,2.3,4,2
25,Male,53.2,1.7,190,164,56,0.59,532,Strength,28.8,2.1,3,1
38,Male,46.1,1.79,188,158,68,0.64,556,Strength,29.2,2.8,3,1
56,Female,58,1.68,168,156,74,1.59,1116,HIIT,15.5,2.7,5,3
36,Male,70.3,1.72,174,169,73,1.49,1385,Cardio,21.3,2.3,3,2
40,Female,69.7,1.51,189,141,64,1.27,895,Cardio,30.6,1.9,3,2
28,Male,121.7,1.94,185,127,52,1.03,719,Strength,28.9,2.6,4,2
28,Male,101.8,1.84,169,136,64,1.08,808,Cardio,29.7,2.7,3,1
41,Male,120.8,1.67,188,146,54,0.82,593,HIIT,20.5,3,2,1
53,Male,51.7,1.7,175,152,72,1.15,865,HIIT,23.6,3.5,3,2
57,Male,112.5,1.61,195,165,61,1.24,1013,Cardio,22.1,2.7,3,2
41,Male,94.5,2,179,136,69,1.18,794,HIIT,27.6,3.7,3,1
20,Male,117.7,1.81,196,161,54,1.35,1195,Yoga,26.4,3.3,3,2
39,Female,42.5,1.75,181,131,52,1.13,740,Strength,26.2,2.1,2,1
19,Female,64,1.53,166,167,58,1.33,1111,HIIT,29.8,2.3,3,2
41,Female,43.8,1.77,182,165,58,1.19,884,Cardio,31.9,1.6,3,1
47,Female,66.8,1.75,199,146,56,1.13,742,Strength,32.8,2.5,3,2
55,Female,75.2,1.67,188,167,51,1.37,1030,HIIT,25.2,2.2,2,1
19,Male,89,1.77,175,127,72,1.5,1048,Strength,28.9,3.7,4,2
38,Male,71.9,1.77,197,142,72,1.12,875,Cardio,25.7,3.1,2,1
50,Female,71,1.68,187,161,70,1.17,848,Yoga,33.1,2.5,2,1
29,Male,120.9,1.78,197,168,65,0.78,721,Yoga,28.1,3.4,2,1
39,Female,64.3,1.69,190,148,58,1.25,925,HIIT,26.9,1.9,4,2
42,Female,63.7,1.71,173,169,62,1.42,1080,Yoga,26.1,1.8,3,2
44,Male,65.2,1.8,192,139,68,0.73,502,HIIT,27.2,2.7,2,1
59,Male,53.9,1.75,168,135,69,1.48,989,Strength,21.6,2.8,4,2
45,Male,84.9,1.86,186,136,66,1.64,1104,HIIT,14.2,3.5,5,3
33,Female,78,1.68,183,135,55,1.29,871,HIIT,32.3,1.8,3,2
32,Male,108.2,1.8,172,138,53,1.27,964,HIIT,28.4,3.5,3,1
20,Female,65.4,1.52,185,127,50,1.03,654,Yoga,28,2.2,4,2
54,Female,50.2,1.61,188,157,67,1.48,1046,HIIT,28.2,2.7,2,1
24,Female,58.9,1.51,187,157,68,1.04,816,Cardio,31.7,2.5,2,1
38,Male,81.4,1.71,187,148,58,1.52,1237,HIIT,10.2,3.5,5,3
26,Male,127.6,1.73,167,160,62,1.32,1162,Strength,27.3,2.9,3,1
56,Female,59.3,1.56,182,155,57,1.26,879,Cardio,33.4,2.6,4,2
35,Male,96.9,1.71,188,145,72,1.34,1069,Strength,24.2,2.9,3,2
21,Male,62.6,1.81,164,150,62,1.3,1072,Strength,27.6,3.5,4,2
42,Male,45.5,1.6,166,163,64,1.31,1057,Strength,21.7,2.6,3,2
31,Female,48.8,1.51,195,131,60,1.48,969,Cardio,28.2,2,2,1
26,Female,44.3,1.6,186,136,61,1.08,734,Cardio,34.7,2,3,1
43,Male,113.2,1.83,161,134,63,1.45,962,Yoga,29.9,2.9,4,2
19,Female,60.5,1.59,184,128,53,1.14,730,Cardio,30.1,2.2,2,1
37,Male,124.2,1.76,168,158,50,1.5,1304,HIIT,29.3,2.8,2,1
45,Male,52.4,1.85,186,161,73,1.2,956,Strength,25.2,2.5,3,1
24,Male,54.7,1.74,160,167,53,0.84,772,Yoga,22.9,3.6,3,1
25,Male,88.1,1.95,182,131,68,1.41,1016,Cardio,22.7,3,2,1
52,Female,59.7,1.71,169,151,58,1.23,836,Strength,34.3,2,3,1
31,Female,79.7,1.54,184,144,59,1.03,742,Cardio,26.7,2.3,4,2
34,Female,51,1.62,162,158,53,1.42,1122,Yoga,30.8,2.4,3,2
53,Male,84.2,1.76,165,137,69,1.67,1133,Cardio,12.8,3.5,5,3
57,Male,122.1,1.89,165,134,58,1.13,750,Cardio,27.4,3.6,3,1
21,Male,96.7,1.72,161,151,62,1.26,1046,Strength,25,2.8,3,1
19,Female,73,1.79,177,125,61,0.81,506,HIIT,27.7,1.6,3,1
23,Male,114.8,1.6,182,163,60,1.47,1318,Cardio,21.7,2.7,4,2
59,Female,65.5,1.52,161,162,61,1.4,1021,Yoga,31.2,2.1,3,2
21,Female,50.3,1.52,171,154,67,1.08,832,Cardio,32.2,2.6,3,1
46,Female,61,1.71,181,153,61,1.67,1150,Cardio,17.8,2.7,4,3
35,Female,44.6,1.62,196,157,65,0.56,440,HIIT,32.4,2,2,1
43,Female,58.2,1.61,179,124,54,1.04,580,Strength,26.4,2.6,3,2
51,Female,44.8,1.63,198,137,69,1.08,666,Yoga,33.8,2.1,4,2
27,Male,87.5,1.63,183,135,74,1.75,1299,Strength,12.9,3.5,5,3
53,Male,51.8,1.74,179,127,61,1.23,773,Strength,21.3,3.7,3,2
31,Female,64.4,1.7,160,144,70,1.97,1418,Strength,17.3,2.7,5,3
48,Female,67.1,1.61,160,151,74,0.62,421,Cardio,33.4,1.5,2,1
32,Male,85.9,1.6,176,145,60,1.99,1587,HIIT,14.5,3.5,5,3
25,Female,65.4,1.77,160,141,58,0.89,627,Cardio,27.6,2.6,3,1
31,Female,61.1,1.76,189,150,67,1.81,1358,Yoga,18.6,2.7,4,3
40,Male,106.5,1.65,162,162,74,1.32,1176,HIIT,21,3.6,4,2
57,Female,64,1.52,170,129,52,1.73,1004,Strength,15.2,2.7,5,3
38,Female,61.4,1.54,183,131,69,1.47,963,HIIT,30.6,2.7,3,2
33,Female,40.5,1.63,181,147,66,1.07,786,Yoga,31.9,1.5,4,2
35,Male,70.1,1.79,185,125,63,1.08,743,Cardio,28,2.3,3,2
41,Male,94.1,1.62,172,139,50,1.13,777,Cardio,23.4,3.1,4,2
43,Male,55.5,1.82,160,124,66,1.08,663,Strength,20.1,2,3,1
42,Female,53.7,1.72,183,142,74,1.37,875,Cardio,29.8,1.6,3,1
58,Female,66.1,1.75,169,128,57,0.63,363,Cardio,25.2,1.8,2,1
46,Male,103.9,1.77,194,148,54,1.18,864,Yoga,20.9,2.9,2,1
32,Female,61.7,1.58,183,135,54,1.87,1262,HIIT,16.6,2.7,5,3
18,Female,52.3,1.74,187,165,58,1.2,990,Cardio,29.4,2.2,2,1
42,Female,59.5,1.74,195,141,52,1.78,1129,Yoga,16.4,2.7,5,3
24,Female,72.9,1.76,175,127,68,0.86,546,Yoga,30.8,1.5,3,1
26,Female,76.7,1.63,199,139,72,1.08,751,Strength,25.6,1.7,2,1
41,Male,72.1,1.83,175,133,58,1.13,744,Yoga,21.4,2.8,3,2
18,Female,54.8,1.68,176,158,71,1.27,1003,Strength,32,2.2,4,2
25,Male,105,1.88,174,156,67,1.34,1150,Cardio,21.4,2.3,3,2
41,Female,55,1.55,175,169,65,1.45,1103,Strength,31.4,2,4,2
28,Male,81.6,1.66,174,153,50,1.09,917,Yoga,20.5,3.5,4,2
34,Female,75.6,1.6,193,130,51,0.64,416,HIIT,29.1,2.7,2,1
25,Male,81.5,1.61,170,159,63,1.93,1688,HIIT,10.9,3.5,4,3
52,Female,61.5,1.69,160,152,63,1.8,1231,Cardio,15.5,2.7,4,3
52,Male,74,1.63,174,150,50,1.26,936,Cardio,25.7,3.7,3,2
50,Female,56.4,1.59,185,163,74,1.26,924,HIIT,34.3,2.6,3,1
22,Male,102.6,1.84,163,153,65,1.25,1052,Strength,20.5,2.7,3,2
59,Female,54.6,1.57,164,169,64,0.58,441,Cardio,29.2,2.3,3,1
56,Male,129,1.78,194,126,64,1.29,805,Yoga,27.1,2.7,2,1
58,Male,103.5,1.66,172,168,61,1.33,1106,Cardio,24.6,3.1,3,1
45,Female,59.4,1.51,169,142,65,1.15,735,Strength,33.1,1.9,4,2
24,Female,60.1,1.79,170,165,63,1.97,1625,Cardio,15.9,2.7,4,3
